time,ax,ay,az,atotal
0.0037527084350585938,0.59,-0.53,4.6,4.66
0.010558843612670898,0.96,-1.1,4.41,4.64
0.021693706512451172,1.18,-1.53,3.78,4.24
0.03161883354187012,1.22,-1.41,2.86,3.41
0.0470888614654541,1.05,-1.4,2.14,2.76
0.050752878189086914,0.83,-1.59,1.0,2.05
0.06074094772338867,0.61,-1.61,-0.05,1.72
0.07077980041503906,0.37,-1.59,-0.78,1.8
0.08079791069030762,0.2,-1.51,-1.35,2.03
0.09163188934326172,0.11,-1.34,-1.86,2.29
0.10139894485473633,0.05,-1.11,-2.22,2.48
0.11167693138122559,0.04,-0.99,-2.32,2.52
0.12126684188842773,0.03,-1.05,-2.24,2.47
0.13193082809448242,0.08,-1.18,-2.26,2.55
0.15035295486450195,0.11,-1.24,-2.23,2.55
0.1523289680480957,0.06,-1.29,-2.01,2.38
0.1606459617614746,0.03,-1.36,-1.86,2.3
0.17081403732299805,0.04,-1.45,-1.74,2.26
0.18160200119018555,0.1,-1.52,-1.73,2.3
0.1914539337158203,0.12,-1.56,-1.74,2.34
0.20134186744689941,0.13,-1.55,-1.74,2.33
0.21150779724121094,0.12,-1.49,-1.67,2.24
0.2215137481689453,0.04,-1.37,-1.61,2.11
0.2318098545074463,-0.07,-1.17,-1.58,1.96
0.2497577667236328,-0.16,-1.07,-1.63,1.95
0.2519059181213379,-0.22,-1.02,-1.83,2.1
0.26113080978393555,-0.27,-0.96,-2.1,2.32
0.27092599868774414,-0.41,-0.88,-2.34,2.53
0.2807028293609619,-0.64,-0.73,-2.47,2.65
0.29149389266967773,-0.77,-0.61,-2.59,2.77
0.30120277404785156,-0.82,-0.55,-2.79,2.95
0.3115508556365967,-0.84,-0.47,-2.97,3.12
0.32150983810424805,-0.95,-0.33,-2.9,3.06
0.33152294158935547,-1.03,-0.16,-2.82,3.0
0.3482327461242676,-0.99,-0.07,-2.78,2.95
0.3507509231567383,-0.87,-0.01,-2.73,2.86
0.3611278533935547,-0.79,0.1,-2.56,2.68
0.37091493606567383,-0.71,0.22,-2.25,2.36
0.3806948661804199,-0.67,0.33,-1.88,2.02
0.3916587829589844,-0.66,0.52,-1.53,1.74
0.40152692794799805,-0.68,0.76,-1.2,1.57
0.4117617607116699,-0.69,0.98,-0.96,1.53
0.42137575149536133,-0.67,1.12,-0.76,1.51
0.43166089057922363,-0.64,1.22,-0.49,1.46
0.4495818614959717,-0.58,1.26,-0.09,1.39
0.4517369270324707,-0.57,1.24,0.41,1.42
0.4609339237213135,-0.54,1.25,1.01,1.69
0.4709348678588867,-0.5,1.26,1.68,2.15
0.4807920455932617,-0.46,1.26,2.27,2.63
0.491696834564209,-0.36,1.18,2.75,3.01
0.5014209747314453,-0.23,1.02,3.12,3.29
0.5114738941192627,-0.08,0.86,3.38,3.48
0.5210509300231934,-0.03,0.8,3.57,3.65
0.5310487747192383,-0.01,0.91,3.54,3.65
0.5484099388122559,-0.04,1.0,3.36,3.5
0.550419807434082,-0.14,1.0,3.23,3.38
0.5605916976928711,-0.29,1.12,3.13,3.33
0.5705447196960449,-0.4,1.37,3.05,3.36
0.5814008712768555,-0.46,1.58,3.09,3.5
0.5915017127990723,-0.48,1.39,3.26,3.57
0.6013517379760742,-0.56,0.95,3.54,3.7
0.611163854598999,-0.64,0.53,3.91,3.99
0.6213140487670898,-0.64,0.18,4.16,4.21
0.6312808990478516,-0.61,-0.18,4.16,4.2
0.6525118350982666,-0.56,-0.49,3.85,3.92
0.6547489166259766,-0.52,-0.71,3.25,3.36
0.6606729030609131,-0.55,-0.87,2.46,2.66
0.6715550422668457,-0.64,-1.06,1.61,2.03
0.6814858913421631,-0.81,-1.27,0.81,1.71
0.6912999153137207,-1.01,-1.44,0.13,1.76
0.7013068199157715,-1.21,-1.5,-0.32,1.95
0.7113537788391113,-1.44,-1.45,-0.6,2.12
0.7213287353515625,-1.6,-1.34,-0.75,2.21
0.7313647270202637,-1.67,-1.24,-0.9,2.26
0.7493619918823242,-1.73,-1.21,-1.08,2.37
0.7514767646789551,-1.71,-1.24,-1.18,2.41
0.7607207298278809,-1.64,-1.31,-1.22,2.42
0.7706878185272217,-1.57,-1.43,-1.2,2.43
0.781527042388916,-1.49,-1.55,-1.21,2.46
0.7917008399963379,-1.42,-1.58,-1.24,2.45
0.8013968467712402,-1.33,-1.58,-1.33,2.45
0.811558723449707,-1.23,-1.63,-1.44,2.49
0.8219847679138184,-1.13,-1.66,-1.6,2.56
0.831920862197876,-0.97,-1.68,-1.85,2.68
0.852262020111084,-0.81,-1.63,-2.13,2.8
0.854374885559082,-0.66,-1.55,-2.45,2.97
0.8607149124145508,-0.52,-1.45,-2.76,3.16
0.8709487915039062,-0.44,-1.32,-2.98,3.28
0.881619930267334,-0.38,-1.18,-3.13,3.36
0.8918728828430176,-0.37,-0.98,-3.33,3.49
0.901634931564331,-0.36,-0.83,-3.37,3.48
0.9121048450469971,-0.39,-0.65,-3.3,3.38
0.9215917587280273,-0.45,-0.46,-3.19,3.25
0.9320259094238281,-0.51,-0.34,-3.09,3.15
0.952293872833252,-0.48,-0.25,-3.11,3.15
0.9541449546813965,-0.44,-0.11,-3.23,3.26
0.9607686996459961,-0.39,0.06,-3.19,3.21
0.9709699153900146,-0.24,0.25,-3.02,3.03
0.9809517860412598,-0.03,0.43,-2.71,2.74
0.9920740127563477,0.13,0.6,-2.21,2.29
1.0014300346374512,0.15,0.77,-1.8,1.96
1.0117528438568115,0.17,0.89,-1.49,1.74
1.021440029144287,0.24,0.97,-1.21,1.56
1.0320677757263184,0.44,1.07,-0.83,1.42
1.051616907119751,0.55,1.23,-0.38,1.39
1.0533828735351562,0.64,1.44,0.11,1.57
1.0607709884643555,0.75,1.61,0.78,1.93
1.071131706237793,0.79,1.73,1.35,2.33
1.0818099975585938,0.77,1.81,1.67,2.58
1.092148780822754,0.76,1.91,1.9,2.79
1.1015598773956299,0.79,1.95,2.01,2.9
1.1117749214172363,0.82,1.89,2.08,2.92
1.1213297843933105,0.81,1.77,2.14,2.89
1.1319708824157715,0.78,1.74,2.15,2.87
1.1510028839111328,0.77,1.79,2.14,2.89
1.1527018547058105,0.8,1.87,2.09,2.91
1.160614013671875,0.8,1.93,2.01,2.89
1.1710319519042969,0.76,2.07,1.95,2.94
1.180858850479126,0.77,2.36,1.93,3.14
1.1919608116149902,0.85,2.5,2.04,3.33
1.2014389038085938,0.85,2.28,2.31,3.35
1.2117938995361328,0.75,1.79,2.8,3.4
1.2217097282409668,0.64,1.28,3.5,3.78
1.2318239212036133,0.49,0.84,4.24,4.35
1.249135971069336,0.45,0.24,4.9,4.92
1.2509589195251465,0.54,-0.46,5.22,5.26
1.2609689235687256,0.71,-1.21,5.3,5.48
1.2708487510681152,0.85,-1.83,5.03,5.41
1.280956745147705,0.91,-2.19,4.39,4.98
1.2918999195098877,0.95,-2.27,3.31,4.12
1.3015458583831787,1.05,-2.24,2.08,3.23
1.3115739822387695,1.05,-2.26,0.95,2.66
1.3215408325195312,0.97,-2.27,-0.1,2.47
1.3324968814849854,0.89,-2.18,-1.06,2.58
1.350287914276123,0.84,-2.03,-1.81,2.84
1.352107048034668,0.86,-1.87,-2.41,3.16
1.3609709739685059,0.93,-1.75,-2.89,3.5
1.3709938526153564,1.01,-1.68,-3.22,3.76
1.3810310363769531,1.11,-1.67,-3.32,3.87
1.3913817405700684,1.15,-1.66,-3.38,3.93
1.4017138481140137,1.17,-1.66,-3.35,3.91
1.4115278720855713,1.18,-1.7,-3.26,3.86
1.4215788841247559,1.17,-1.77,-3.15,3.79
1.4315438270568848,1.14,-1.85,-3.0,3.7
1.450516700744629,1.05,-1.84,-2.81,3.51
1.4523258209228516,0.84,-1.74,-2.63,3.26
1.4609909057617188,0.65,-1.63,-2.55,3.09
1.4709887504577637,0.52,-1.57,-2.53,3.02
1.4809858798980713,0.41,-1.51,-2.54,2.98
1.4919638633728027,0.27,-1.35,-2.6,2.94
1.5012338161468506,0.14,-1.17,-2.66,2.9
1.5118327140808105,0.09,-0.99,-2.71,2.88
1.5214898586273193,0.03,-0.76,-2.75,2.85
1.5319099426269531,-0.05,-0.49,-2.66,2.7
1.5502519607543945,-0.12,-0.25,-2.55,2.56
1.5520238876342773,-0.18,-0.04,-2.42,2.42
1.5608787536621094,-0.22,0.14,-2.38,2.39
1.5712058544158936,-0.22,0.37,-2.36,2.39
1.582434892654419,-0.13,0.66,-2.23,2.32
1.5917949676513672,-0.07,0.93,-1.95,2.16
1.601733922958374,-0.03,1.14,-1.59,1.95
1.6119227409362793,-0.04,1.29,-1.09,1.68
1.6217608451843262,-0.04,1.37,-0.52,1.46
1.6319859027862549,-0.05,1.43,0.0,1.43
1.651432991027832,-0.14,1.58,0.49,1.66
1.6531319618225098,-0.19,1.67,0.91,1.91
1.661031723022461,-0.22,1.66,1.26,2.09
1.6710519790649414,-0.29,1.63,1.57,2.28
1.681797981262207,-0.36,1.6,1.8,2.43
1.6921648979187012,-0.33,1.56,2.0,2.55
1.7015857696533203,-0.24,1.48,2.16,2.62
1.7118449211120605,-0.14,1.44,2.35,2.75
1.7216839790344238,-0.03,1.43,2.54,2.91
1.7320499420166016,0.03,1.47,2.67,3.04
1.751741886138916,0.04,1.6,2.66,3.1
1.7534918785095215,0.03,1.76,2.69,3.21
1.76090669631958,-0.05,1.78,2.91,3.41
1.7710957527160645,-0.2,1.49,3.28,3.6
1.781592845916748,-0.27,0.97,3.85,3.97
1.7918498516082764,-0.3,0.56,4.42,4.46
1.8014507293701172,-0.16,0.27,4.79,4.8
1.8116588592529297,0.14,-0.08,5.06,5.06
1.8216500282287598,0.41,-0.59,5.17,5.21
1.8322808742523193,0.52,-1.05,5.12,5.25
1.8508410453796387,0.46,-1.31,4.84,5.03
1.8525876998901367,0.25,-1.35,4.23,4.44
1.8610219955444336,0.11,-1.37,3.33,3.6
1.8711318969726562,0.01,-1.48,2.22,2.66
1.8811838626861572,-0.18,-1.58,1.19,1.98
1.8922200202941895,-0.38,-1.64,0.37,1.72
1.9014878273010254,-0.59,-1.63,-0.28,1.75
1.9117908477783203,-0.77,-1.52,-0.8,1.88
1.9216349124908447,-0.94,-1.36,-1.22,2.05
1.9318790435791016,-1.09,-1.13,-1.49,2.16
1.9498987197875977,-1.18,-1.02,-1.62,2.24
1.9517488479614258,-1.23,-1.05,-1.66,2.31
1.9609637260437012,-1.22,-1.14,-1.65,2.34
1.9710638523101807,-1.24,-1.23,-1.58,2.35
1.9812507629394531,-1.2,-1.36,-1.42,2.3
1.9919888973236084,-1.13,-1.46,-1.24,2.22
2.001771926879883,-1.05,-1.57,-1.24,2.25
2.0118837356567383,-0.96,-1.67,-1.38,2.36
2.0219168663024902,-0.87,-1.68,-1.65,2.51
2.032665729522705,-0.79,-1.62,-1.95,2.65
2.052842855453491,-0.74,-1.51,-2.25,2.8
2.0546188354492188,-0.68,-1.4,-2.51,2.95
2.060917854309082,-0.67,-1.31,-2.75,3.11
